iter	Passed	Remaining
242	13172	1070965
243	13218	1070240
244	13251	1068480
245	13308	1068715
246	13351	1067705
247	13397	1067025
248	13427	1065049
249	13466	1063839
250	13524	1064142
251	13588	1064852
252	13634	1064208
253	13686	1063987
254	13751	1064821
255	13815	1065490
256	13861	1064869
257	13902	1063806
258	13957	1063853
259	14005	1063321
260	14044	1062193
261	14094	1061857
262	14147	1061722
263	14185	1060474
264	14231	1059811
265	14276	1059146
266	14322	1058511
267	14385	1059182
268	14439	1059152
269	14493	1059127
270	14553	1059500
271	14591	1058325
272	14624	1056772
273	14688	1057498
274	14754	1058308
275	14805	1058064
276	14845	1057039
277	14915	1058153
278	14968	1058076
279	15028	1058403
280	15078	1058122
281	15128	1057802
282	15161	1056300
283	15206	1055703
284	15271	1056411
285	15315	1055687
286	15347	1054173
287	15399	1053986
288	15431	1052490
289	15480	1052171
290	15520	1051165
291	15562	1050385
292	15604	1049536
293	15646	1048751
294	15684	1047698
295	15751	1048570
296	15797	1047991
297	15835	1046961
298	15896	1047401
299	15946	1047121
300	15990	1046527
301	16032	1045714
302	16071	1044777
303	16110	1043786
304	16135	1041939
305	16191	1042076
306	16218	1040367
307	16264	1039902
308	16317	1039858
309	16361	1039187
310	16420	1039544
311	16468	1039185
312	16525	1039437
313	16565	1038575
314	16597	1037185
315	16643	1036719
316	16704	1037181
317	16759	1037312
318	16810	1037157
319	16857	1036742
320	16906	1036438
321	16956	1036225
322	17016	1036650
323	17059	1035982
324	17114	1036064
325	17158	1035527
326	17210	1035395
327	17257	1035033
328	17296	1034155
329	17348	1034069
330	17392	1033523
331	17435	1032888
332	17488	1032867
333	17542	1032915
334	17593	1032777
335	17640	1032381
336	17698	1032674
337	17751	1032645
338	17799	1032343
339	17852	1032314
340	17906	1032316
341	17945	1031479
342	17991	1031103
343	18042	1030916
344	18092	1030738
345	18131	1029923
346	18187	1030059
347	18238	1029931
348	18272	1028864
349	18316	1028325
350	18361	1027897
351	18422	1028287
352	18452	1027022
353	18520	1027837
354	18586	1028514
355	18630	1028021
356	18683	1027996
357	18768	1029730
358	18820	1029693
359	18880	1030040
360	18923	1029492
361	18970	1029119
362	19017	1028765
363	19077	1029153
364	19142	1029741
365	19169	1028353
366	19219	1028186
367	19269	1027990
368	19317	1027705
369	19360	1027133
370	19408	1026853
371	19473	1027506
372	19528	1027601
373	19609	1029027
374	19655	1028620
375	19718	1029129
376	19751	1028073
377	19797	1027698
378	19845	1027397
379	19886	1026750
380	19932	1026380
381	19965	1025347
382	20008	1024800
383	20041	1023765
384	20075	1022785
385	20115	1022156
386	20179	1022682
387	20215	1021808
388	20258	1021297
389	20297	1020599
390	20322	1019192
391	20358	1018342
392	20382	1016884
393	20418	1016055
394	20458	1015419
395	20516	1015678
396	20563	1015398
397	20602	1014707
398	20651	1014534
399	20713	1014955
400	20772	1015251
401	20810	1014518
402	20875	1015144
403	20937	1015582
404	20982	1015180
405	21024	1014679
406	21072	1014435
407	21122	1014296
408	21173	1014223
409	21231	1014459
410	21273	1013937
411	21334	1014342
412	21391	1014498
413	21422	1013483
414	21469	1013188
415	21498	1012065
416	21527	1010947
417	21567	1010353
418	21616	1010206
419	21652	1009410
420	21706	1009499
421	21772	1010085
422	21817	1009735
423	21859	1009228
424	21889	1008208
425	21922	1007309
426	21955	1006420
427	21985	1005390
428	22034	1005197
429	22088	1005274
430	22123	1004509
431	22160	1003780
432	22237	1004907
433	22285	1004681
434	22327	1004233
435	22374	1003960
436	22422	1003782
437	22453	1002801
438	22517	1003335
439	22547	1002319
440	22572	1001112
441	22602	1000155
442	22633	999173
443	22789	1003750
444	22846	1003967
445	22881	1003183
446	22941	1003527
447	23004	1004000
448	23034	1002993
449	23093	1003290
450	23144	1003227
451	23198	1003304
452	23236	1002648
453	23290	1002736
454	23332	1002290
455	23375	1001851
456	23402	1000789
457	23445	1000359
458	23493	1000177
459	23525	999328
460	23553	998296
461	23593	997757
462	23631	997167
463	23692	997519
464	23734	997104
465	23773	996558
466	23820	996333
467	23888	997003
468	23931	996585
469	23982	996555
470	24010	995557
471	24062	995524
472	24118	995673
473	24167	995563
474	24204	994921
475	24271	995554
476	24310	995014
477	24347	994375
478	24411	994838
479	24441	993971
480	24497	994129
481	24530	993341
482	24566	992689
483	24594	991703
484	24646	991710
485	24726	992836
486	24783	993004
487	24824	992575
488	24862	992007
489	24932	992734
490	24970	992157
491	25028	992389
492	25067	991884
493	25112	991589
494	25152	991108
495	25216	991579
496	25261	991302
497	25318	991472
498	25374	991653
499	25424	991563
500	25456	990771
501	25496	990302
502	25557	990626
503	25627	991343
504	25699	992092
505	25745	991877
506	25782	991277
507	25819	990679
508	25872	990711
509	25918	990489
510	25975	990692
511	26025	990607
512	26091	991106
513	26119	990211
514	26153	989511
515	26194	989104
516	26255	989429
517	26308	989471
518	26368	989740
519	26400	989010
520	26434	988334
521	26513	989331
522	26554	988903
523	26600	988693
524	26640	988241
525	26701	988557
526	26742	988155
527	26775	987434
528	26805	986631
529	26844	986165
530	26875	985373
531	26906	984605
532	26953	984430
533	26980	983525
534	27029	983404
535	27068	982936
536	27119	982903
537	27159	982476
538	27192	981792
539	27227	981198
540	27261	980569
541	27285	979576
542	27315	978766
543	27354	978314
544	27389	977735
545	27424	977131
546	27476	977131
547	27510	976527
548	27562	976527
549	27594	975855
550	27625	975124
551	27689	975546
552	27748	975815
553	27792	975541
