iter	Logloss
0	0.6797386914
1	0.6671667108
2	0.6544544312
3	0.6422978782
4	0.6318054049
5	0.6207858994
6	0.6103918708
7	0.6000961416
8	0.5903643097
9	0.5815808028
10	0.5725454562
11	0.5638695546
12	0.5561337873
13	0.5481381276
14	0.5410019433
15	0.5331075384
16	0.5253414005
17	0.5185717629
18	0.5118043967
19	0.5058332414
20	0.5000046251
21	0.4937797188
22	0.4885772225
23	0.4827573319
24	0.4770891098
25	0.4724553855
26	0.4678987303
27	0.4630460047
28	0.4585806926
29	0.4545471641
30	0.4505751585
31	0.4460667997
32	0.4420126552
33	0.4385015527
34	0.4346721132
35	0.4308326882
36	0.4272802639
37	0.423763835
38	0.4209131148
39	0.4171843232
40	0.4140037788
41	0.4108248801
42	0.4079793223
43	0.4049165288
44	0.4019200699
45	0.3990536958
46	0.3959596217
47	0.393129088
48	0.3904557146
49	0.3876402451
50	0.3849516838
51	0.3824018846
52	0.3802793179
53	0.3786006908
54	0.3763115109
55	0.3739444691
56	0.3716232765
57	0.3698726706
58	0.3681771423
59	0.365754426
60	0.3639222871
61	0.3619334317
62	0.3599612761
63	0.3577254567
64	0.3557674722
65	0.3539738102
66	0.3522379931
67	0.3505729083
68	0.3487480017
69	0.3471997956
70	0.3457139774
71	0.3441589852
72	0.3427021796
73	0.3410119229
74	0.339245559
75	0.3376618971
76	0.3361495495
77	0.3347012354
78	0.3329563951
79	0.3315978685
80	0.3298853835
81	0.3283467417
82	0.3267334501
83	0.3255391564
84	0.3244615187
85	0.3233191041
86	0.3223559812
87	0.3209878593
88	0.3197481658
89	0.3184475058
90	0.3172859376
91	0.3163282127
92	0.3150302048
93	0.313463576
94	0.3123123987
95	0.3112839128
96	0.3103620211
97	0.3090499751
98	0.3082348274
99	0.3073753451
100	0.3061728443
101	0.3049820174
102	0.3043500335
103	0.3033510894
104	0.3021475759
105	0.3016154371
106	0.3006235109
107	0.2995405526
108	0.2986012939
109	0.2978452056
110	0.2971392484
111	0.2966598369
112	0.2956646118
113	0.2950299272
114	0.2940572649
115	0.2933257231
116	0.2923512312
117	0.2912512751
118	0.290509491
119	0.2897543177
120	0.2888266748
121	0.2883431937
122	0.2872220429
123	0.2864633962
124	0.2855719828
125	0.2843071452
126	0.2837242968
127	0.2830473779
128	0.2821226375
129	0.2814459019
130	0.2807455077
131	0.2802511687
132	0.2794453893
133	0.2784268458
134	0.2779159452
135	0.277125232
136	0.2761821156
137	0.2753334487
138	0.2749372809
139	0.2744857465
140	0.2736004836
141	0.2727056845
142	0.2721540329
143	0.2716021023
144	0.2712015767
145	0.2708683652
146	0.2700893508
