iter	Logloss
147	0.2695702324
148	0.2691713383
149	0.2685147826
150	0.2678651996
151	0.2671553729
152	0.2667597427
153	0.2663533059
154	0.2656662781
155	0.2650839552
156	0.2645332083
157	0.2639941817
158	0.2634910199
159	0.2623321487
160	0.261884541
161	0.2614032203
162	0.2607051975
163	0.2602508707
164	0.259881392
165	0.2593729409
166	0.2586087396
167	0.2578678311
168	0.2575285777
169	0.256895446
170	0.2564646902
171	0.2559177657
172	0.2551919166
173	0.2545792175
174	0.2542360813
175	0.253803662
176	0.2533750571
177	0.2531011686
178	0.252695581
179	0.2522234635
180	0.2517000378
181	0.2511562067
182	0.2508491583
183	0.2507218652
184	0.2502268432
185	0.2499044611
186	0.2496061903
187	0.2491293344
188	0.2482570769
189	0.2476465849
190	0.2471148407
191	0.2466346248
192	0.2459662918
193	0.2455683927
194	0.244934976
195	0.2448124712
196	0.2445418179
197	0.2441753935
198	0.2436101391
199	0.2432081501
200	0.2429838941
201	0.2426860524
202	0.2422758426
203	0.2420655529
204	0.2417817443
205	0.241199867
206	0.2407446871
207	0.2403421458
208	0.2400723943
209	0.2398217219
210	0.2392799698
211	0.2386820667
212	0.2382445551
213	0.2379091489
214	0.2373488375
215	0.2369156329
216	0.236470017
217	0.2360460079
218	0.2357153365
219	0.2354290578
220	0.2351304755
221	0.2346367454
222	0.2342425686
223	0.233824644
224	0.2332709834
225	0.232924522
226	0.2326177887
227	0.2321095838
228	0.2316848781
229	0.2314389085
230	0.2310183039
231	0.230691236
232	0.2301735112
233	0.2300307811
234	0.229467243
235	0.2291546753
236	0.2286883829
237	0.2282715725
238	0.2278464589
239	0.2274773649
240	0.2271856376
241	0.2268805802
242	0.2265679476
243	0.2262665852
244	0.2258362043
245	0.2257091465
246	0.2254606797
247	0.2251458369
248	0.2249524837
249	0.2245533759
250	0.2240369801
251	0.223702621
252	0.2231681992
253	0.2229453464
254	0.2226188979
255	0.2222301005
256	0.2218584074
257	0.2216371098
258	0.2212072889
259	0.220909114
260	0.2205707502
261	0.2202555437
262	0.2196912638
263	0.2193810109
264	0.2192032967
265	0.2189236475
266	0.2186182461
267	0.2180855983
268	0.2178447228
269	0.2174191899
270	0.2169034745
271	0.2165937697
272	0.2163375991
273	0.2160243408
274	0.2157935032
275	0.2153921275
276	0.2150235887
277	0.2148333818
278	0.214629752
279	0.2142936263
280	0.2141006017
281	0.2137225759
282	0.2135342777
283	0.2133851842
284	0.212951835
285	0.2127612483
286	0.2125556612
287	0.2123743203
288	0.2121111465
289	0.2116476288
290	0.2114707646
291	0.2111753319
292	0.2107264971
293	0.2104082569
294	0.2101916981
295	0.2098861071
296	0.2096321061
297	0.2093923506
298	0.209159196
299	0.2089216427
300	0.2086677104
301	0.2083965235
302	0.2081960915
303	0.2080209949
304	0.2078843825
305	0.2076498716
306	0.2074185038
307	0.2070311438
308	0.2067611459
309	0.2066639956
310	0.2062536846
311	0.2059154504
312	0.2056285681
313	0.2052922117
314	0.2050918156
315	0.2048401716
316	0.2044605113
317	0.2040022564
318	0.2036098993
319	0.2033332614
320	0.2028691344
321	0.2025757824
322	0.2023313741
323	0.2019858119
324	0.2015046336
325	0.2011251644
326	0.2008454984
327	0.2005362544
328	0.2003523672
329	0.2001057364
330	0.1996119405
331	0.1992220407
332	0.1988122511
333	0.1985554128
334	0.1983146943
335	0.1981590891
336	0.197815631
337	0.1975150693
338	0.1970867399
339	0.1965649377
340	0.1963025051
341	0.1960481458
342	0.1958409572
343	0.1956181652
344	0.1953848096
345	0.1953218515
346	0.195089458
347	0.1948409749
348	0.1946369502
349	0.1943541146
350	0.1939640128
351	0.1934855069
352	0.1933946922
353	0.1929169361
354	0.192637898
355	0.1923473194
356	0.1920742982
357	0.1917514106
358	0.191521992
359	0.1912992629
360	0.190953917
361	0.1907722674
362	0.1904282309
363	0.1899897069
364	0.1895387267
365	0.18933445
366	0.1889490066
367	0.1886098133
368	0.1883506473
369	0.1881642235
370	0.1876970632
371	0.1874121656
372	0.1872580206
373	0.1866691396
374	0.1864645489
375	0.1861683944
376	0.1859436751
377	0.1856906886
378	0.1854897597
379	0.1853998763
380	0.1851903564
381	0.1850902682
382	0.1849620724
383	0.1847151928
384	0.1846338278
385	0.1845175479
386	0.1839628752
387	0.1838594843
388	0.1835695128
389	0.1834843919
390	0.1833581984
391	0.1832751069
392	0.1831666034
393	0.1830331559
394	0.1827745546
395	0.1825148801
396	0.1821840998
397	0.1819847536
398	0.1814597746
399	0.1813177569
400	0.1810100328
401	0.1807150867
402	0.1803293699
403	0.179882861
404	0.1796125508
405	0.179408502
406	0.1791013488
407	0.1789285014
408	0.178522381
409	0.178303832
410	0.1782302704
411	0.1779234047
412	0.1775951817
413	0.1774793181
414	0.1772618347
415	0.177003379
416	0.1769103646
417	0.1767316413
418	0.1765769321
419	0.1763633982
420	0.1761765409
421	0.1760783681
422	0.1758874153
423	0.1757509123
424	0.1755513415
425	0.1754754333
426	0.1751787967
427	0.1750444245
428	0.1748213825
429	0.174588251
430	0.1744689756
431	0.1740104242
432	0.1737018789
433	0.1734497253
434	0.1732737577
435	0.1730396783
436	0.172919064
437	0.172735551
438	0.1725189406
439	0.1721008151
440	0.1719706451
441	0.1718849566
442	0.1716204242
443	0.1714457528
444	0.1709075301
445	0.1705349981
446	0.1702428112
447	0.169953536
448	0.1696709322
449	0.1695220984
450	0.1692455368
451	0.169120029
452	0.1689391207
453	0.1688282557
454	0.1686541996
455	0.1684515346
456	0.1683789202
457	0.1681377119
458	0.1678920834
459	0.1678089785
460	0.1677307647
461	0.1675314364
462	0.1672987371
463	0.1670068077
464	0.1668241555
465	0.166678365
466	0.1665195185
467	0.1662962898
468	0.1661152967
469	0.16595461
470	0.1657476954
471	0.1654810185
472	0.1651390669
473	0.1650067453
474	0.1648281963
475	0.1643740697
476	0.1641372371
477	0.1638791858
478	0.1637090036
479	0.1635084992
480	0.1632887654
481	0.1631325953
482	0.1627945654
483	0.162651064
484	0.162439954
485	0.1620389764
486	0.1618078937
487	0.1616240734
488	0.161460862
489	0.1612553297
490	0.1611789164
491	0.1609731718
492	0.1607340604
493	0.1606078191
494	0.1604152686
495	0.1601911193
496	0.1600193315
497	0.1598954127
498	0.1596354231
499	0.1594027879
500	0.1592744476
501	0.1590644861
502	0.1587313989
503	0.1583142342
504	0.1579589536
505	0.1578212804
506	0.1577515254
507	0.157496177
508	0.1571872568
509	0.1568020001
510	0.1566943523
511	0.1565533071
512	0.1562681993
513	0.1561435095
514	0.1559985807
515	0.1555274631
516	0.1553719146
517	0.1551753692
518	0.1548991657
519	0.154731193
520	0.1546151684
521	0.1543673287
522	0.1542993801
523	0.154187987
524	0.1538824964
525	0.1536783314
526	0.1534962088
527	0.1532864323
528	0.1530842858
529	0.1529751963
530	0.152832306
531	0.1526838772
532	0.1525322863
533	0.1524147186
534	0.1523060036
535	0.1521095376
536	0.1519011429
537	0.1517627123
538	0.1516232609
539	0.1515487668
540	0.1513870536
541	0.1512297455
542	0.1510531409
543	0.1509177405
544	0.1508030361
545	0.1505999636
546	0.1504190101
547	0.150335315
548	0.1501588777
549	0.1500067796
550	0.149827818
551	0.1495420566
552	0.1493114291
553	0.1491454492
